,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag,ra,dec,spectral_type,visual_mag,simbad_distance_pc,abs_mag,spectral_class
0,122,1460.522784442047,209.71690206194054,0.4730693549709511,0.19210443491554174,0.16319683232888485,25,57278.0,562842.0,-14.375966243973505,-6.775422625494705,36.41939806086716,61.55031036998504,B8V,7.480000019073486,,,B
1,732,18.82965823422156,962.1764828427694,0.5229510307090127,0.022978446456961447,0.3130175533300105,25,51946.333333333336,425269.3333333334,-14.071660165906259,-6.73742717721228,38.307767247945904,59.99961995923565,,,,,
2,737,1584.5638138511802,965.9466021256702,0.4941252817618735,-0.13368604994195737,0.11394178001420281,25,43547.0,379779.0,-13.94882736653523,-6.55269268950674,38.16708375470441,61.734767050372,F0V,7.639999866485596,104.254,2.549536231968787,F
3,1225,83.81776244806899,1438.3104913310797,0.5928149247552416,-0.03862552103859846,0.33293818991457835,25,42969.666666666664,364984.3333333333,-13.905685557765104,-6.405418877715672,39.36044620731844,60.088870579998826,F0Ib,7.449999809265137,1271.133,-3.0709551588636046,F
4,56,73.20261373244395,87.27380992159755,0.46880620619482793,0.5893892989163328,0.13361142503701637,25,33456.333333333336,353484.6666666667,-13.870926449671167,-6.141916411442345,36.36250849559028,60.006168724128585,B7V,7.650000095367432,243.754,0.715241339387914,B
5,347,2044.4335207268632,532.8777683705384,0.5409817592962262,0.0065809471674778165,0.059104228252664155,25,32316.0,275164.0,-13.598979035172768,-6.166339245882586,37.09007557568177,62.219570128278455,,,59.7704,,
6,69,533.4071489412077,119.3228831654053,0.49723209327306533,0.3458181189663475,0.11127727466689712,25,25077.0,251159.0,-13.499871863070547,-5.831063473331559,36.36150823365138,60.51765002364658,G8II,7.860000133514404,463.113,-0.4684347275015117,G
7,1618,1153.4384410923537,1823.3774394275765,0.5152995193970246,-0.33138610130296214,0.08535056938170908,25,25192.666666666668,244641.3333333333,-13.471324587617996,-5.835437158477781,40.18846603726051,61.282648800382745,F5V,9.829999923706055,247.568,2.8615273827401833,F
8,1579,1335.6675957704117,1802.1589883382917,0.5048698285451562,-0.12487217788950489,0.14425742293515378,25,25775.666666666668,240205.66666666666,-13.451458121458176,-5.907782120180349,40.13407132971116,61.484440668769146,K0II-III,8.220000267028809,443.872,-0.01628848322725318,K
9,536,671.2269469537387,749.0428357354175,0.6017169652150672,0.14132914936872018,0.2283895238516784,25,33973.333333333336,237141.0,-13.437516617277792,-6.263918926253755,37.76438088103053,60.71179153316785,F5IV,8.079999923706055,84.655,3.4417368534611352,F
10,1337,983.4629906590975,1564.0578694275393,0.537536588823008,-0.15681200395075295,0.0797832225405297,25,27292.333333333332,225818.6666666667,-13.384399597019932,-6.017641068681819,39.598039831938934,61.08946116542118,F5V,7.96999979019165,67.832,3.812826678907623,F
11,729,1333.8139620752343,960.0543835237788,0.5527964422727212,0.026292051427682123,0.27769548681805445,25,27821.333333333332,225476.99999999997,-13.382755619608966,-6.026030518960592,38.17839347329993,61.45663334355665,,19.07900047302246,,,
12,739,1263.376400414506,969.421176618795,0.5066823810943346,0.29009688535136235,0.2325172004417089,25,18008.333333333332,166271.3333333333,-13.052043448540191,-5.523784919508314,38.20704613450897,61.379017673617454,,15.519000053405762,2141.79,3.8651156208149295,
13,943,510.4907748037813,1156.679638103432,0.49506950463937494,-0.2594280783263925,0.1899486559190056,25,18372.666666666668,166168.0,-13.051368481810792,-5.5836841551223335,38.70121088762988,60.552544774095615,B1Iab,8.369999885559082,2817.695,-3.8794700210724287,B
14,708,1652.6853877272376,941.171470328054,0.5306761881426374,-0.13362593566740316,0.23414744218334005,25,18769.666666666668,160431.0,-13.013220726393405,-5.5875877486561185,38.10207650487064,61.80905837474143,,10.949999809265137,320.513,3.420771563333144,
