"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.320356667E-1,-1.453308105E0,-8.151556396E1,-8.800354004E-1,8.153326766E1
6.420236666E-1,-1.437606812E0,-8.122320557E1,-7.437286377E-1,8.123933141E1
6.520116667E-1,-1.444076538E0,-8.132196045E1,-8.744201660E-1,8.133948131E1
6.620006667E-1,-1.506149292E0,-8.153326416E1,-1.026611328E0,8.155363622E1
6.719886666E-1,-1.393554688E0,-8.131414795E1,-8.905639648E-1,8.133096431E1
6.819766667E-1,-1.353729248E0,-8.148776245E1,-8.544921875E-1,8.150348563E1
6.919656667E-1,-1.321914673E0,-8.127001953E1,-8.876647949E-1,8.128561670E1
7.019536668E-1,-1.204711914E0,-8.129736328E1,-8.217926025E-1,8.131044183E1
7.119416667E-1,-1.482910156E0,-8.165249634E1,-9.252929688E-1,8.167120268E1
7.219306667E-1,-1.467636108E0,-8.147360229E1,-7.160949707E-1,8.148996637E1
7.319186667E-1,-1.540496826E0,-8.161593628E1,-6.501770020E-1,8.163306264E1
7.419066667E-1,-1.441528320E0,-8.134695435E1,-6.178283691E-1,8.136207161E1
7.518956667E-1,-1.519485474E0,-8.131433105E1,-8.086395264E-1,8.133254680E1
7.618836667E-1,-1.546463013E0,-8.163711548E1,-8.339691162E-1,8.165602045E1
7.718716667E-1,-1.571380615E0,-8.148153687E1,-8.502044678E-1,8.150112229E1
7.818606667E-1,-1.504394531E0,-8.164443970E1,-8.428955078E-1,8.166264880E1
7.918486667E-1,-1.426467896E0,-8.138098145E1,-6.791839600E-1,8.139631590E1
8.018376667E-1,-1.390243530E0,-8.135064697E1,-6.983947754E-1,8.136552277E1
8.118256667E-1,-1.559036255E0,-8.153405762E1,-7.848815918E-1,8.155273867E1
8.218136667E-1,-1.511169434E0,-8.150897217E1,-6.187133789E-1,8.152532725E1
8.318026667E-1,-1.671691895E0,-8.172543335E1,-5.800476074E-1,8.174458676E1
8.417906667E-1,-1.601959229E0,-8.145864868E1,-4.792022705E-1,8.147580839E1
8.517786667E-1,-1.604309082E0,-8.148699951E1,-6.976470947E-1,8.150577653E1
8.617676666E-1,-1.676162720E0,-8.169931030E1,-6.322479248E-1,8.171894862E1
8.717556667E-1,-1.539825439E0,-8.166778564E1,-5.615844727E-1,8.168423135E1
8.817436667E-1,-1.681152344E0,-8.174819946E1,-7.664489746E-1,8.176907626E1
8.917326666E-1,-1.615615845E0,-8.142974854E1,-6.202697754E-1,8.144813623E1
9.017206667E-1,-1.526962280E0,-8.144369507E1,-5.446929932E-1,8.145982918E1
9.117086667E-1,-1.562210083E0,-8.167761230E1,-5.226287842E-1,8.169422252E1
9.216976666E-1,-1.427169800E0,-8.149249268E1,-5.115814209E-1,8.150659416E1
9.316856667E-1,-1.625396729E0,-8.180645752E1,-6.977386475E-1,8.182557819E1
9.416736667E-1,-1.639465332E0,-8.149661255E1,-5.474090576E-1,8.151493949E1
9.516626667E-1,-1.569122314E0,-8.161508179E1,-6.057434082E-1,8.163241173E1
9.616506667E-1,-1.568511963E0,-8.182757568E1,-6.587982178E-1,8.184525879E1
9.716396667E-1,-1.647048950E0,-8.162344360E1,-3.399047852E-1,8.164076709E1
9.816276667E-1,-1.556167603E0,-8.190301514E1,-2.020721436E-1,8.191804673E1
9.916156667E-1,-1.485443115E0,-8.162243652E1,-3.308258057E-1,8.163662249E1
1.001604667E0,-1.609024048E0,-8.169387817E1,-2.491912842E-1,8.171010210E1
1.011592667E0,-1.651885986E0,-8.183715820E1,-5.390930176E-2,8.185384595E1
1.021580667E0,-1.658081055E0,-8.163827515E1,-1.938781738E-1,8.165534147E1
1.031569667E0,-1.782699585E0,-8.184704590E1,-1.129150391E-2,8.186645875E1
1.041557667E0,-1.394348145E0,-8.158810425E1,3.053283691E-2,8.160002386E1
1.051545667E0,-1.578231812E0,-8.170278931E1,-2.861938477E-1,8.171853219E1
1.061534667E0,-1.653503418E0,-8.179281616E1,-3.506469727E-1,8.181027932E1
1.071522667E0,-1.584869385E0,-8.160748291E1,-9.347534180E-2,8.162292457E1
1.081510667E0,-1.635711670E0,-8.174774170E1,-2.019348145E-1,8.176435411E1
1.091499667E0,-1.673873901E0,-8.163839722E1,-8.772277832E-2,8.165560268E1
1.101487667E0,-1.705001831E0,-8.168896484E1,-3.151855469E-1,8.170736411E1
1.111476667E0,-1.703750610E0,-8.186169434E1,-1.692199707E-2,8.187942386E1
1.121464667E0,-1.802261353E0,-8.173361206E1,-1.838226318E-1,8.175368663E1
1.131452667E0,-1.777069092E0,-8.195172119E1,2.853393555E-2,8.197099118E1
