"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.616656668E-1,-1.763782196E0,6.837331696E0,5.944438477E0,9.230188576E0
6.716526668E-1,-1.257984009E0,7.167245636E0,6.570287018E0,9.804111651E0
6.816396667E-1,-1.023272095E0,7.232360229E0,6.766528931E0,9.956908860E0
6.916266668E-1,-1.001417542E0,7.135960693E0,6.681655426E0,9.826967556E0
7.016136667E-1,-9.970765686E-1,7.071744232E0,6.506369934E0,9.661085751E0
7.115996669E-1,-1.300794983E0,7.009773102E0,6.380781097E0,9.567829113E0
7.215866668E-1,-1.692680054E0,6.901398468E0,6.606212311E0,9.702397007E0
7.315736667E-1,-1.907782745E0,6.981182556E0,6.787934418E0,9.922328282E0
7.415606668E-1,-1.824256439E0,7.141050110E0,6.975943451E0,1.014821636E1
7.515476667E-1,-1.507215729E0,7.291187897E0,7.115303650E0,1.029857593E1
7.615336669E-1,-1.148411865E0,7.342680817E0,6.792724457E0,1.006851116E1
7.715206668E-1,-5.685177612E-1,7.397466888E0,5.984105988E0,9.531802205E0
7.815076667E-1,-5.388793945E-2,7.535180511E0,5.228627014E0,9.171716835E0
7.914946668E-1,-1.272354126E-1,7.607779541E0,4.907245331E0,9.054035295E0
8.014816667E-1,-2.823129272E-1,7.793692932E0,5.153632965E0,9.347795614E0
8.114686667E-1,-4.076023865E-1,7.735613708E0,5.528154144E0,9.516635298E0
8.214546668E-1,-4.388873291E-1,7.755372620E0,5.886958008E0,9.746522515E0
8.314416667E-1,-3.156935120E-1,7.577692108E0,6.135740662E0,9.755428927E0
8.414286668E-1,-9.190887451E-2,7.359895020E0,6.300847321E0,9.689023630E0
8.514156668E-1,9.804611206E-2,7.162904663E0,6.370751953E0,9.586620713E0
8.614026667E-1,2.601589966E-1,7.057523804E0,6.387517090E0,9.522431387E0
8.713886668E-1,4.667294312E-1,7.167994080E0,5.840554504E0,9.257972370E0
8.813756667E-1,4.769082642E-1,7.351961517E0,5.324876862E0,9.090274651E0
8.913626669E-1,1.933978271E-1,7.309000854E0,5.341192932E0,9.054680455E0
9.013496668E-1,-1.004411316E-1,7.151528320E0,5.608387299E0,9.088919288E0
9.113366667E-1,-2.992277527E-1,7.106472015E0,6.085594940E0,9.360873225E0
9.213236668E-1,-4.076023865E-1,7.001989288E0,6.697821808E0,9.698185947E0
9.313096667E-1,-2.939886475E-1,6.663094025E0,7.184010773E0,9.802717077E0
9.412966669E-1,-1.672023010E-1,6.728507996E0,6.979086914E0,9.695794481E0
9.512836668E-1,-2.047741699E-1,6.647376709E0,7.275021515E0,9.856748329E0
9.612706667E-1,-4.456233215E-1,6.431375885E0,7.171287231E0,9.643056387E0
9.712576668E-1,-7.696994019E-1,6.295757904E0,6.936874695E0,9.399427391E0
9.812436667E-1,-9.550140381E-1,6.226452026E0,6.830446014E0,9.291703256E0
9.912306669E-1,-7.686515808E-1,6.217919769E0,6.988816681E0,9.385995425E0
1.001217667E0,-2.537223816E-1,6.429130554E0,7.395970001E0,9.802982556E0
1.011204667E0,8.577163696E-2,6.553821259E0,7.495213623E0,9.956814607E0
1.021191667E0,-2.353106689E-1,6.621031494E0,7.286846924E0,9.848429684E0
1.031178667E0,-9.102571106E-1,6.638096008E0,6.415059814E0,9.276091798E0
1.041164667E0,-1.436113586E0,6.492448883E0,6.017486572E0,8.967968520E0
1.051151667E0,-1.635798340E0,6.565946045E0,6.347400513E0,9.277767886E0
1.061138667E0,-1.367705841E0,6.590794373E0,6.828350372E0,9.588303215E0
1.071125667E0,-9.782157898E-1,6.554719391E0,7.032974854E0,9.663539088E0
1.081113542E0,-6.093827820E-1,6.662046204E0,7.189249878E0,9.820362560E0
1.091099542E0,-2.808160400E-1,6.683900757E0,7.023394775E0,9.699559843E0
1.101086542E0,-5.433700562E-2,6.695127411E0,6.698121185E0,9.470613020E0
1.111073542E0,1.580712891E-1,6.863976288E0,6.576873322E0,9.507597998E0
1.121060542E0,2.398013306E-1,7.004833374E0,6.441105652E0,9.519088050E0
1.131047542E0,2.739303589E-1,7.019951935E0,6.157595215E0,9.341881065E0
1.141033542E0,4.281097412E-1,7.064858551E0,5.492827606E0,8.959166223E0
1.151020542E0,5.150788879E-1,7.006629639E0,4.869224396E0,8.547953636E0
1.161007542E0,2.290237427E-1,6.882837067E0,4.752916260E0,8.367563022E0
1.170994542E0,-3.113525391E-2,6.834337921E0,5.121749268E0,8.540577251E0
1.180981542E0,-8.412506104E-2,6.861880646E0,5.545368347E0,8.822901627E0
1.190968542E0,-4.041595459E-2,6.902745667E0,5.989943848E0,9.139417842E0
1.200954542E0,-4.326004028E-2,6.812183990E0,6.109245758E0,9.150442934E0
1.210941542E0,-1.609153748E-1,6.778953094E0,5.998775482E0,9.053474808E0
1.220928542E0,-2.163002014E-1,7.023544464E0,5.575605469E0,8.970191690E0
1.230915542E0,-8.352630615E-2,6.792125702E0,5.439239044E0,8.702026751E0
1.240902542E0,3.835025024E-1,6.555318146E0,6.298003235E0,9.098577631E0
1.250888542E0,6.903643799E-1,6.944508820E0,7.533833313E0,1.026944254E1
1.260875542E0,3.701802063E-1,6.568490753E0,8.477021942E0,1.073042428E1
1.270862542E0,-9.774673462E-2,6.247857513E0,8.826694794E0,1.081461136E1
1.280849542E0,-2.287243652E-1,6.511758728E0,8.666827240E0,1.084293369E1
1.290836542E0,-6.502478027E-1,6.555018768E0,7.782017212E0,1.019563069E1
1.300823542E0,-4.370910645E-1,6.752308502E0,7.015311584E0,9.746759222E0
1.310809542E0,4.840933228E-1,6.310577087E0,7.523654480E0,9.831739737E0
1.320796542E0,1.470092926E0,5.827082520E0,8.762927399E0,1.062567459E1
1.330783542E0,1.772464142E0,6.072272644E0,9.424102478E0,1.135023487E1
1.340770542E0,1.489253082E0,6.199807434E0,9.536069641E0,1.147136048E1
1.350757542E0,1.202299805E0,6.291865997E0,9.311686249E0,1.130223886E1
1.360743542E0,1.176852722E0,6.284531250E0,8.850195923E0,1.091816300E1
1.370730542E0,9.927355957E-1,6.428232422E0,8.030650177E0,1.033436202E1
1.380717542E0,5.364843750E-1,6.659501495E0,7.356751556E0,9.937734607E0
1.390704542E0,4.388873291E-1,6.708749084E0,7.007677460E0,9.711203826E0
1.400691542E0,1.174457703E0,7.116351471E0,6.970255280E0,1.003026758E1
1.410678542E0,2.311193848E0,7.511529694E0,7.843988342E0,1.110373129E1
1.420664542E0,2.874622192E0,7.368127899E0,8.978928223E0,1.196553022E1
1.430651542E0,2.305655365E0,7.142397308E0,8.966204681E0,1.169284877E1
1.440638542E0,1.011147308E0,6.916816406E0,8.039481812E0,1.065354569E1
1.450625542E0,4.028123474E-1,6.540948029E0,7.489974518E0,9.952184543E0
