"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.560219165E-1;-2.053729248E-1;1.180295563E0;9.679920502E0;9.753775504E0
6.660819165E-1;-1.929487610E-1;1.180744629E0;9.686357117E0;9.759964206E0
6.761429165E-1;-1.742376709E-1;1.176852722E0;9.688901825E0;9.761667873E0
6.862039166E-1;-1.685494995E-1;1.188079376E0;9.686357117E0;9.760402437E0
6.962649166E-1;-1.794767761E-1;1.185384979E0;9.685758362E0;9.759675430E0
7.063259166E-1;-1.800755310E-1;1.176703033E0;9.694889374E0;9.767698664E0
7.163869166E-1;-1.701960754E-1;1.181044006E0;9.685009918E0;9.758240044E0
7.264469166E-1;-1.664538574E-1;1.190025330E0;9.677226105E0;9.751542045E0
7.365079166E-1;-1.686991882E-1;1.186732178E0;9.692045288E0;9.765886265E0
7.465689166E-1;-1.794767761E-1;1.173709259E0;9.685458984E0;9.757967057E0
7.566299166E-1;-1.962419128E-1;1.175056458E0;9.679172058E0;9.752212072E0
7.666909166E-1;-2.182461548E-1;1.179397430E0;9.693392487E0;9.767316294E0
7.767519166E-1;-2.165995789E-1;1.177002411E0;9.698930969E0;9.772487503E0
7.868129166E-1;-1.947450256E-1;1.180445251E0;9.687255249E0;9.760855028E0
7.968729166E-1;-1.865121460E-1;1.183738403E0;9.672436066E0;9.746386142E0
8.069339166E-1;-1.718426514E-1;1.181493073E0;9.681118011E0;9.754460607E0
8.169949166E-1;-1.772314453E-1;1.182840271E0;9.683513031E0;9.757097248E0
8.270559167E-1;-1.944456482E-1;1.180744629E0;9.690099335E0;9.763707908E0
8.371169167E-1;-1.929487610E-1;1.194366302E0;9.684411163E0;9.759690552E0
8.471779167E-1;-1.884580994E-1;1.178199921E0;9.684261475E0;9.757489012E0
8.572389167E-1;-1.917512512E-1;1.181343384E0;9.679621124E0;9.753327937E0
8.672989167E-1;-1.694476318E-1;1.173709259E0;9.693392487E0;9.765662488E0
8.773599167E-1;-1.724414062E-1;1.178798676E0;9.686207428E0;9.759196519E0
8.874209167E-1;-1.782792664E-1;1.187630310E0;9.676028595E0;9.750270695E0
8.974819167E-1;-1.978884888E-1;1.179696808E0;9.684411163E0;9.758005124E0
9.075429167E-1;-1.975891113E-1;1.179397430E0;9.683063965E0;9.756625826E0
9.176039167E-1;-1.972897339E-1;1.181493073E0;9.694589996E0;9.768312255E0
9.276639167E-1;-1.866618347E-1;1.175206146E0;9.692644043E0;9.765413492E0
9.377249167E-1;-1.907034302E-1;1.187181244E0;9.670490112E0;9.744954906E0
9.477859165E-1;-1.941462708E-1;1.184935913E0;9.676178284E0;9.750394457E0
9.578469165E-1;-2.095642090E-1;1.178050232E0;9.682764587E0;9.756415815E0
9.679079165E-1;-2.203417969E-1;1.170565796E0;9.678722992E0;9.751741052E0
9.779688749E-1;-2.165995789E-1;1.176253967E0;9.685608673E0;9.759175382E0
9.880298749E-1;-1.980381775E-1;1.180894318E0;9.682614899E0;9.756370318E0
9.980898749E-1;-1.797761536E-1;1.176703033E0;9.684710541E0;9.757590264E0
1.008150875E0;-1.823208618E-1;1.182690582E0;9.674382019E0;9.748110861E0
1.018211875E0;-1.895059204E-1;1.172960815E0;9.681417389E0;9.754055168E0
1.028272875E0;-1.974394226E-1;1.178499298E0;9.683063965E0;9.756514268E0
1.038333875E0;-1.989363098E-1;1.174457703E0;9.693392487E0;9.766308640E0
1.048394875E0;-1.910028076E-1;1.181942139E0;9.701176300E0;9.774778304E0
1.058455875E0;-1.670526123E-1;1.188229065E0;9.695787506E0;9.769753848E0
1.068515875E0;-1.555265808E-1;1.183439026E0;9.683063965E0;9.756354042E0
1.078576875E0;-1.586700439E-1;1.189875641E0;9.677675171E0;9.751839669E0
1.088637875E0;-1.648072815E-1;1.188678131E0;9.686207428E0;9.760262880E0
1.098698875E0;-1.851649475E-1;1.179247742E0;9.695338440E0;9.768546399E0
1.108759875E0;-2.041754150E-1;1.172661438E0;9.672136688E0;9.745103928E0
1.118820875E0;-2.025288391E-1;1.175355835E0;9.685009918E0;9.758170750E0
1.128880875E0;-1.987866211E-1;1.184935913E0;9.688153381E0;9.762371903E0
1.138941875E0;-1.826202393E-1;1.185834045E0;9.683812408E0;9.757857106E0
1.149002875E0;-1.689985657E-1;1.191522217E0;9.683513031E0;9.758007498E0
1.159063875E0;-1.643582153E-1;1.184486847E0;9.681267700E0;9.754843258E0
1.169124875E0;-1.535806274E-1;1.182690582E0;9.679920502E0;9.753112577E0
1.179185875E0;-1.507365417E-1;1.193019104E0;9.687105560E0;9.761456358E0
1.189246875E0;-1.477427673E-1;1.195713501E0;9.684560852E0;9.759215009E0
1.199306875E0;-1.543290710E-1;1.188827820E0;9.682914276E0;9.756841596E0
1.209367875E0;-1.664538574E-1;1.190474396E0;9.688153381E0;9.762440889E0
1.219428875E0;-1.842668152E-1;1.184486847E0;9.683363342E0;9.757278769E0
1.229489875E0;-1.998344421E-1;1.180145874E0;9.679022369E0;9.752751002E0
1.239550875E0;-2.112107849E-1;1.178798676E0;9.685159607E0;9.758918635E0
1.249611875E0;-2.194436646E-1;1.181642761E0;9.686806183E0;9.761078279E0
1.259672875E0;-2.177970886E-1;1.169218597E0;9.691596222E0;9.764299516E0
1.269732875E0;-2.044747925E-1;1.170865173E0;9.675729218E0;9.748459934E0
1.279793875E0;-2.059716797E-1;1.188378754E0;9.682165833E0;9.756997674E0
1.289854875E0;-1.978884888E-1;1.174906769E0;9.680668945E0;9.753712985E0
1.299915875E0;-1.914518738E-1;1.190474396E0;9.678872681E0;9.753689531E0
1.309976875E0;-1.872605896E-1;1.181343384E0;9.686207428E0;9.759777306E0
1.320037875E0;-1.793270874E-1;1.193917236E0;9.680219879E0;9.755216732E0
1.330097875E0;-1.884580994E-1;1.184786224E0;9.687404938E0;9.761406112E0
