"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
5.865850000E-1	-3.268909641E-4	-1.630088687E-2	1.207806543E-1	1.218761347E-1
5.965320000E-1	8.620530367E-3	-3.254856542E-2	1.079319641E-1	1.130620694E-1
6.064790000E-1	1.423204131E-2	-3.956292942E-2	1.021475494E-1	1.104622027E-1
6.164260000E-1	9.373368695E-3	-3.278039023E-2	1.034136191E-1	1.088888913E-1
6.263730000E-1	8.270896971E-3	-2.931697667E-2	1.061448529E-1	1.104292654E-1
6.363190000E-1	3.093711566E-3	-1.823236793E-2	1.105116382E-1	1.120482596E-1
6.462660000E-1	-4.582000896E-3	-3.601989010E-3	1.117428243E-1	1.118947177E-1
6.562130000E-1	-7.485379465E-3	3.914250061E-3	1.133385897E-1	1.136529285E-1
6.661600000E-1	-2.560935682E-3	1.259379461E-2	1.197432876E-1	1.204309635E-1
6.761070000E-1	-4.091986921E-3	1.548944879E-2	1.174982414E-1	1.185854296E-1
6.860540000E-1	-1.228012145E-3	1.205897704E-2	1.152700111E-1	1.159055754E-1
6.960010000E-1	-5.980955902E-3	1.102194376E-2	1.137075350E-1	1.143969343E-1
7.059480000E-1	-9.545118548E-3	6.183492951E-3	1.061914563E-1	1.067987372E-1
7.158950000E-1	-4.252085462E-3	-6.033758633E-3	1.001021415E-1	1.003739269E-1
7.258420000E-1	-1.209157985E-3	-1.315531787E-2	9.513001889E-2	9.604293282E-2
7.357890000E-1	3.795188386E-3	-1.821505651E-2	9.222264588E-2	9.408085964E-2
7.457350000E-1	-7.169661112E-4	-2.583959699E-2	8.625712246E-2	9.004715424E-2
7.556820000E-1	1.914503053E-3	-2.429842576E-2	8.108819276E-2	8.467215494E-2
7.656290000E-1	5.645393394E-4	-1.943439245E-2	8.332876861E-2	8.556692114E-2
7.755760000E-1	5.738604814E-4	-1.774488389E-2	8.669713885E-2	8.849635080E-2
7.855230000E-1	-1.820873702E-3	-7.567524910E-3	8.533361554E-2	8.568785769E-2
7.954702500E-1	-2.615561010E-3	-2.682489110E-3	8.845058084E-2	8.852989415E-2
8.054172500E-1	-4.282687791E-3	3.444070462E-4	8.812252432E-2	8.822720286E-2
8.153642500E-1	-1.039223745E-3	4.391346592E-3	9.230928123E-2	9.241951803E-2
8.253112500E-1	-1.703474903E-3	4.299978260E-3	8.897355944E-2	8.909369180E-2
8.352582500E-1	2.776761074E-3	1.276491559E-3	8.922762424E-2	8.927994601E-2
8.452042500E-1	-1.401668647E-3	-1.000542426E-3	8.384046704E-2	8.385815210E-2
8.551512500E-1	6.825211458E-4	-6.205424666E-3	8.267134428E-2	8.290672045E-2
8.650982500E-1	-2.522226423E-4	-9.396548383E-3	7.759607583E-2	7.816335281E-2
8.750452500E-1	-6.914386060E-3	-1.288342569E-2	8.333732188E-2	8.461028667E-2
8.849922500E-1	-3.264524043E-3	-1.557508297E-2	8.048187941E-2	8.204007095E-2
8.949392500E-1	-8.284849115E-3	-1.672956347E-2	7.701151818E-2	7.924197720E-2
9.048862500E-1	-9.858003817E-3	-1.789297350E-2	7.885103673E-2	8.145443348E-2
9.148332500E-1	-1.246204227E-2	-1.312245242E-2	8.163430542E-2	8.361615320E-2
9.247802500E-1	-9.674245492E-3	-8.497074246E-3	8.106359094E-2	8.207982135E-2
9.347272500E-1	-1.763975993E-2	-5.512670614E-4	7.732717693E-2	7.931555533E-2
9.446742500E-1	-1.457616314E-2	6.637022365E-3	7.667940855E-2	7.833419619E-2
9.546202500E-1	-5.806107074E-3	9.847463109E-3	7.404101640E-2	7.491832565E-2
9.645672500E-1	2.378923353E-3	8.364338428E-3	7.225435972E-2	7.277577847E-2
9.745142500E-1	1.037847251E-4	5.535794888E-3	6.429336965E-2	6.453133485E-2
9.844612500E-1	6.733736023E-3	1.782016712E-3	5.532415584E-2	5.576092721E-2
9.944082500E-1	6.987269036E-3	6.765385624E-4	4.714425653E-2	4.766403840E-2
