"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
7.101786666E-1;3.610533476E-2;-3.296622515E0;-1.936770082E0;3.823624190E0
7.201666667E-1;4.114589840E-2;-3.302551746E0;-1.951990604E0;3.836509917E0
7.301536667E-1;6.344261765E-2;-3.339560032E0;-1.980593920E0;3.883225264E0
7.401406666E-1;8.281951398E-2;-3.396973610E0;-2.015610695E0;3.950819567E0
7.501276666E-1;9.560461342E-2;-3.460953712E0;-2.053527355E0;4.025458414E0
7.601146667E-1;1.075222641E-1;-3.516262054E0;-2.070249796E0;4.081861596E0
7.701016667E-1;1.263136119E-1;-3.561592102E0;-2.069586039E0;4.121174566E0
7.800886666E-1;1.336378306E-1;-3.594237089E0;-2.056009531E0;4.142894461E0
7.900756666E-1;1.232043877E-1;-3.610099077E0;-2.031152248E0;4.144101124E0
8.000626666E-1;1.065614894E-1;-3.582988501E0;-2.003880501E0;4.106665193E0
8.100506667E-1;9.213817865E-2;-3.523003340E0;-2.018243551E0;4.061200439E0
8.200376666E-1;1.053951308E-1;-3.445977926E0;-2.054863691E0;4.013519253E0
8.300246666E-1;1.880776435E-1;-3.338549376E0;-2.089322567E0;3.942911858E0
8.400116666E-1;3.515762985E-1;-3.191678524E0;-2.102030039E0;3.837831156E0
8.499986667E-1;5.371518135E-1;-3.009915829E0;-2.086651564E0;3.701653700E0
8.599856666E-1;6.236017346E-1;-2.847198248E0;-2.057176828E0;3.567547265E0
8.699726666E-1;5.856797099E-1;-2.777987957E0;-2.030584335E0;3.490488584E0
8.799596666E-1;4.764800072E-1;-2.838716984E0;-1.996691585E0;3.503159231E0
8.899476667E-1;3.593729138E-1;-2.963180542E0;-1.922885656E0;3.550644598E0
8.999346666E-1;2.504685521E-1;-3.094224453E0;-1.827856660E0;3.602501829E0
9.099216666E-1;1.609659940E-1;-3.196144581E0;-1.678690076E0;3.613758515E0
9.199086666E-1;1.162299365E-1;-3.285128832E0;-1.546596766E0;3.632842192E0
9.298956667E-1;8.587941527E-2;-3.372498035E0;-1.465081453E0;3.677986125E0
9.398826667E-1;5.020024627E-2;-3.467775583E0;-1.440865397E0;3.755539995E0
9.498696666E-1;2.199338749E-2;-3.518038988E0;-1.466134310E0;3.811381881E0
9.598566666E-1;4.001713172E-2;-3.432106733E0;-1.537518382E0;3.760973381E0
9.698446667E-1;1.366189420E-1;-3.243383884E0;-1.654082179E0;3.643376403E0
9.798316667E-1;2.924564779E-1;-3.025028706E0;-1.786773443E0;3.525462920E0
9.898186666E-1;4.595365524E-1;-2.833275557E0;-1.899873972E0;3.442113498E0
9.998056666E-1;5.889688730E-1;-2.746073484E0;-1.972906113E0;3.432224125E0
1.009792667E0;6.442093253E-1;-2.743445635E0;-2.004885912E0;3.458477573E0
1.019779667E0;6.046560407E-1;-2.816879272E0;-2.011141062E0;3.513560322E0
1.029766667E0;5.037695765E-1;-2.946103573E0;-1.963035345E0;3.575866023E0
1.039753667E0;3.886626959E-1;-3.043576479E0;-1.889781356E0;3.603566296E0
1.049740667E0;2.547260821E-1;-3.093239546E0;-1.830916405E0;3.603508172E0
1.059728667E0;1.327471733E-1;-3.110411167E0;-1.800969481E0;3.596633219E0
1.069715667E0;4.029966146E-2;-3.068945169E0;-1.777632594E0;3.546833257E0
1.079702667E0;-3.657144029E-3;-2.997563124E0;-1.748086095E0;3.470043667E0
1.089689667E0;4.170473665E-3;-2.967859268E0;-1.700833917E0;3.420678594E0
1.099676667E0;4.909054562E-2;-2.957721949E0;-1.634413362E0;3.379620695E0
1.109663667E0;1.097470447E-1;-2.950605154E0;-1.545047522E0;3.332459607E0
1.119650667E0;1.598597616E-1;-2.941356182E0;-1.457413793E0;3.286515829E0
1.129637667E0;1.710197926E-1;-2.908282518E0;-1.382484794E0;3.224689005E0
1.139624667E0;1.561114192E-1;-2.837098360E0;-1.334172845E0;3.139030911E0
1.149612667E0;1.387480199E-1;-2.769174099E0;-1.327495933E0;3.074056222E0
1.159599667E0;1.132189631E-1;-2.752482653E0;-1.344488859E0;3.065392239E0
1.169586667E0;8.360156417E-2;-2.780208588E0;-1.371639609E0;3.101281063E0
1.179573667E0;4.821241647E-2;-2.831019402E0;-1.419052124E0;3.167128703E0
1.189560667E0;3.511099145E-3;-2.912264585E0;-1.492900729E0;3.272621263E0
1.199547667E0;-3.638092428E-2;-2.974206209E0;-1.558575869E0;3.358032889E0
1.209534667E0;-3.439863026E-2;-3.032604218E0;-1.594832301E0;3.426567039E0
1.219521667E0;-3.776007332E-3;-3.077377558E0;-1.607029796E0;3.471715953E0
1.229509667E0;3.532178700E-2;-3.038233757E0;-1.626112819E0;3.446208771E0
1.239496667E0;7.325877994E-2;-2.945447445E0;-1.651152134E0;3.377474037E0
1.249483667E0;1.084058508E-1;-2.840516806E0;-1.693249464E0;3.308682714E0
1.259470667E0;1.342262626E-1;-2.779358864E0;-1.748173475E0;3.286177549E0
1.269457667E0;1.305361092E-1;-2.782943249E0;-1.802908897E0;3.318477557E0
1.279444667E0;1.030181944E-1;-2.845078945E0;-1.840435028E0;3.390027735E0
1.289431667E0;5.908127874E-2;-2.939888716E0;-1.865304947E0;3.482211769E0
1.299418667E0;-6.584815681E-3;-3.032114744E0;-1.896070361E0;3.576149605E0
1.309405667E0;-6.931421161E-2;-3.089964390E0;-1.936284423E0;3.647174489E0
1.319393667E0;-1.155831739E-1;-3.119830847E0;-1.980883002E0;3.697377645E0
1.329380667E0;-1.343446523E-1;-3.126185417E0;-2.013553619E0;3.720951750E0
1.339367667E0;-1.275583804E-1;-3.096966743E0;-2.040800571E0;3.711110497E0
1.349354667E0;-1.079361662E-1;-3.046434164E0;-2.076112509E0;3.688177664E0
1.359341667E0;-5.462367833E-2;-3.006995916E0;-2.093041182E0;3.664127396E0
1.369328667E0;1.998554915E-2;-2.998415470E0;-2.090464830E0;3.655261682E0
1.379315667E0;7.188496739E-2;-3.021623850E0;-2.088176489E0;3.673671078E0
1.389302667E0;8.250013739E-2;-3.069593191E0;-2.081422329E0;3.709653292E0
1.399289667E0;6.583567709E-2;-3.132013083E0;-2.073853016E0;3.756954434E0
1.409277667E0;3.603460640E-2;-3.209063530E0;-2.077767134E0;3.823153606E0
1.419264667E0;8.583011106E-3;-3.269103050E0;-2.081330776E0;3.875441423E0
1.429251667E0;-2.002627589E-3;-3.301352501E0;-2.084472656E0;3.904351239E0
1.439238667E0;1.219734829E-2;-3.307605028E0;-2.088455200E0;3.911782831E0
1.449225667E0;4.081423581E-2;-3.307996273E0;-2.083563805E0;3.909698617E0
1.459212667E0;6.485912204E-2;-3.303162575E0;-2.071619987E0;3.899576781E0
1.469199667E0;6.988248229E-2;-3.301571369E0;-2.065186024E0;3.894900561E0
1.479186667E0;5.951985344E-2;-3.312392473E0;-2.056416273E0;3.899273573E0
1.489173667E0;3.165059537E-2;-3.316251040E0;-2.040841818E0;3.894041351E0
1.499161667E0;-1.361953095E-3;-3.298597813E0;-2.013119698E0;3.864375797E0
1.509148667E0;-2.066641115E-3;-3.265116930E0;-1.966313720E0;3.811480353E0
1.519135667E0;3.575956821E-2;-3.247453451E0;-1.942835808E0;3.784421176E0
1.529122667E0;1.041990891E-1;-3.234059095E0;-1.953086734E0;3.779489843E0
1.539109667E0;1.826145500E-1;-3.241962671E0;-1.976785898E0;3.801493460E0
1.549096667E0;2.533701062E-1;-3.277821302E0;-1.986957669E0;3.841394237E0
1.559083667E0;2.921902239E-1;-3.337934732E0;-1.974667192E0;3.889279358E0
1.569070667E0;2.733256519E-1;-3.375507116E0;-1.948656559E0;3.907175142E0
1.579057667E0;2.231559604E-1;-3.426072836E0;-1.922241688E0;3.934817247E0
1.589045667E0;1.474740207E-1;-3.491284847E0;-1.892241001E0;3.973838758E0
1.599032667E0;7.999297976E-2;-3.511798382E0;-1.863211989E0;3.976265292E0
1.609019667E0;4.049748182E-2;-3.453813076E0;-1.832113147E0;3.909872555E0
1.619006667E0;3.536157683E-2;-3.327927113E0;-1.801760912E0;3.784533220E0
1.628993792E0;8.055762947E-2;-3.189826727E0;-1.773858786E0;3.650761437E0
1.638980792E0;1.570673138E-1;-3.076858759E0;-1.742864370E0;3.539675999E0
1.648967792E0;2.324081808E-1;-2.995216846E0;-1.719769716E0;3.461639120E0
1.658954792E0;2.726165950E-1;-2.956408024E0;-1.705563068E0;3.423976284E0
1.668941792E0;2.821107209E-1;-2.948944807E0;-1.687160730E0;3.409160199E0
1.678929792E0;2.755529284E-1;-2.967583418E0;-1.670616388E0;3.416641608E0
1.688916792E0;2.612124979E-1;-3.006648302E0;-1.655387878E0;3.442161386E0
1.698903792E0;2.254073769E-1;-3.064289570E0;-1.646654010E0;3.485993184E0
1.708890792E0;2.027257532E-1;-3.050104141E0;-1.662119269E0;3.479493278E0
1.718877792E0;2.202703953E-1;-3.054617643E0;-1.688889146E0;3.497363942E0
1.728864792E0;2.575955689E-1;-3.056397200E0;-1.721533537E0;3.517328111E0
1.738851792E0;2.937405109E-1;-3.045015812E0;-1.761810660E0;3.530209850E0
1.748838792E0;3.113087118E-1;-3.018781900E0;-1.790233850E0;3.523477617E0
1.758825792E0;3.110772669E-1;-3.004015446E0;-1.810165524E0;3.521019325E0
1.768813792E0;2.979067862E-1;-3.000519037E0;-1.828409314E0;3.526321535E0
1.778800792E0;2.812165022E-1;-2.987179518E0;-1.836580396E0;3.517861814E0
1.788787792E0;2.663257718E-1;-2.974360466E0;-1.837608933E0;3.506359393E0
1.798774792E0;2.531457841E-1;-2.954075813E0;-1.831594229E0;3.485022829E0
1.808761792E0;2.378984243E-1;-2.919482708E0;-1.823442698E0;3.450350448E0
1.818748792E0;2.184365839E-1;-2.853399277E0;-1.802288175E0;3.381988267E0
1.828735792E0;2.074793428E-1;-2.780238152E0;-1.764945745E0;3.299667459E0
1.838722792E0;2.046966106E-1;-2.725020647E0;-1.720393777E0;3.229147407E0
1.848709792E0;2.088829875E-1;-2.690288782E0;-1.668029904E0;3.172319277E0
1.858697792E0;2.120417655E-1;-2.682337046E0;-1.620661855E0;3.141088758E0
1.868684792E0;2.086868435E-1;-2.702161551E0;-1.572166681E0;3.133198895E0
1.878671792E0;1.903975904E-1;-2.739178419E0;-1.528106451E0;3.142365189E0
1.888658792E0;1.563530415E-1;-2.780786991E0;-1.497295737E0;3.162138057E0
1.898645792E0;1.258896738E-1;-2.796237946E0;-1.480361223E0;3.166427673E0
1.908632792E0;1.191732213E-1;-2.790065050E0;-1.473570824E0;3.157542749E0
1.918619792E0;1.310905963E-1;-2.772629738E0;-1.477564216E0;3.144496211E0
1.928606792E0;1.457801163E-1;-2.755126476E0;-1.478083968E0;3.129969003E0
1.938593792E0;1.564916223E-1;-2.760981798E0;-1.478711486E0;3.135936507E0
1.948580792E0;1.448063850E-1;-2.805244207E0;-1.483340144E0;3.176580227E0
1.958568792E0;1.137352884E-1;-2.876306534E0;-1.484862328E0;3.238964514E0
1.968555792E0;6.788246334E-2;-2.941327810E0;-1.492620587E0;3.299080710E0
1.978542792E0;1.722274534E-2;-2.979858160E0;-1.505582690E0;3.338656993E0
1.988529792E0;-1.528283581E-2;-2.992052794E0;-1.525681734E0;3.358618501E0
1.998516792E0;-2.574586309E-2;-2.984954119E0;-1.550615549E0;3.363780986E0
2.008503792E0;-2.163005620E-2;-2.963431835E0;-1.572636962E0;3.354934145E0
2.018490792E0;-1.224134862E-2;-2.935208797E0;-1.594427228E0;3.340329134E0
2.028477792E0;-2.827791497E-3;-2.911004066E0;-1.613750577E0;3.328384532E0
2.038464792E0;-2.441898920E-3;-2.899355888E0;-1.635289192E0;3.328729678E0
2.048452792E0;-1.854181848E-2;-2.903264999E0;-1.662724376E0;3.345735167E0
2.058439792E0;-4.451110214E-2;-2.917726278E0;-1.696636438E0;3.375453018E0
2.068426792E0;-6.954248995E-2;-2.939124346E0;-1.727441669E0;3.409888971E0
2.078413792E0;-8.644024283E-2;-2.979655027E0;-1.750081182E0;3.456674723E0
2.088400792E0;-1.000667065E-1;-3.036287069E0;-1.766574025E0;3.514233387E0
2.098387792E0;-1.168818995E-1;-3.091916561E0;-1.784567118E0;3.571874745E0
2.108374792E0;-1.296419501E-1;-3.146268845E0;-1.806037068E0;3.630094292E0
2.118361792E0;-1.335245818E-1;-3.183083057E0;-1.831878781E0;3.675000195E0
2.128348792E0;-1.246721372E-1;-3.212398052E0;-1.867406607E0;3.717828912E0
2.138335792E0;-1.085352451E-1;-3.230062962E0;-1.902521133E0;3.750289762E0
2.148323792E0;-1.024639457E-1;-3.229807854E0;-1.927678227E0;3.762725207E0
2.158310792E0;-1.022157371E-1;-3.215795994E0;-1.939069152E0;3.756565068E0
2.168297792E0;-1.024772972E-1;-3.207170010E0;-1.953676224E0;3.756766143E0
2.178284792E0;-9.274078161E-2;-3.211893320E0;-1.959193468E0;3.763415815E0
2.188271792E0;-7.675884664E-2;-3.247902393E0;-1.969756126E0;3.799302709E0
2.198258792E0;-6.283184886E-2;-3.307521105E0;-1.982732654E0;3.856795623E0
2.208245792E0;-7.195486128E-2;-3.367524147E0;-2.000586748E0;3.917619650E0
2.218232792E0;-9.904932976E-2;-3.422088623E0;-2.012531042E0;3.971244453E0
2.228219792E0;-1.290544122E-1;-3.464304686E0;-2.014716148E0;4.009631299E0
