"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
7.262239584E-1;7.390880585E0;-8.681945801E-2;6.479126587E0;9.829126857E0
7.362999583E-1;7.393874359E0;-7.813751221E-2;6.468498688E0;9.824304494E0
7.463759584E-1;7.407196655E0;-7.843688965E-2;6.455924835E0;9.826071449E0
7.564509583E-1;7.414830780E0;-8.307723999E-2;6.425388336E0;9.811841448E0
7.665269584E-1;7.435936890E0;-7.005432129E-2;6.437064056E0;9.835337244E0
7.766029583E-1;7.425009613E0;-6.017486572E-2;6.435417480E0;9.825934404E0
7.866789585E-1;7.416327667E0;-6.376739502E-2;6.442901917E0;9.824304935E0
7.967549583E-1;7.399712219E0;-7.933502197E-2;6.466403046E0;9.827329409E0
8.068309585E-1;7.394473114E0;-8.412506104E-2;6.486012268E0;9.836344077E0
8.169069584E-1;7.387886810E0;-8.247848511E-2;6.479425964E0;9.827035924E0
8.269829582E-1;7.391179962E0;-7.214996338E-2;6.476881256E0;9.827753439E0
8.370589584E-1;7.401957550E0;-8.756790161E-2;6.501280518E0;9.852070446E0
8.471349583E-1;7.398065643E0;-7.364685059E-2;6.487359467E0;9.839849184E0
8.572109584E-1;7.397766266E0;-7.020401001E-2;6.475384369E0;9.831707738E0
8.672869583E-1;7.397766266E0;-7.394622803E-2;6.462810516E0;9.823458329E0
8.773629584E-1;7.396419067E0;-8.517288208E-2;6.449488220E0;9.813774388E0
8.874389583E-1;7.397466888E0;-7.214996338E-2;6.442153473E0;9.809641347E0
8.975149584E-1;7.423662415E0;-7.858657837E-2;6.445596313E0;9.831716601E0
9.075909583E-1;7.420518951E0;-7.304809570E-2;6.458319855E0;9.837648747E0
9.176669584E-1;7.421417084E0;-6.840774536E-2;6.449188843E0;9.832301250E0
9.277429583E-1;7.414681091E0;-6.676116943E-2;6.464606781E0;9.837331629E0
9.378189584E-1;7.395221558E0;-6.361770630E-2;6.471342773E0;9.827086363E0
9.478949583E-1;7.386539612E0;-7.903564453E-2;6.475983124E0;9.823724929E0
9.579709584E-1;7.392078094E0;-9.205856323E-2;6.477330322E0;9.828891160E0
9.680459583E-1;7.392227783E0;-9.355545044E-2;6.485263824E0;9.834247866E0
9.781219584E-1;7.405250702E0;-7.888595581E-2;6.469995575E0;9.833860061E0
9.881979583E-1;7.417375488E0;-6.556365967E-2;6.473288727E0;9.845060928E0
9.982739585E-1;7.418123932E0;-5.628295898E-2;6.462511139E0;9.838484673E0
