"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.539307950E-1,7.657032460E-2,9.771091461E0,-5.413761139E-1,9.786377238E0
1.562125330E-1,4.785645381E-2,9.780662537E0,-5.748756528E-1,9.797659512E0
1.584965900E-1,4.307080805E-2,9.761520386E0,-5.605186820E-1,9.777694847E0
1.607826010E-1,3.828516230E-2,9.760921478E0,-6.083751321E-1,9.779937329E0
1.630535370E-1,4.307080805E-2,9.770493507E0,-5.892325640E-1,9.788339670E0
1.653451010E-1,3.349951655E-2,9.775876999E0,-5.844469070E-1,9.793389173E0
1.676221400E-1,4.307080805E-2,9.785448074E0,-5.844469070E-1,9.802980531E0
1.699090050E-1,2.392822690E-2,9.780662537E0,-5.892325640E-1,9.798424732E0
1.721956870E-1,2.392822690E-2,9.790233612E0,-5.988038778E-1,9.808558142E0
1.744787680E-1,1.435693540E-2,9.799804688E0,-6.035895348E-1,9.818385731E0
1.767621550E-1,1.435693540E-2,9.785448074E0,-5.844469070E-1,9.802896425E0
1.790403530E-1,1.435693540E-2,9.785448074E0,-5.653043389E-1,9.801773775E0
1.813281340E-1,4.785645287E-3,9.785448074E0,-5.605186820E-1,9.801489586E0
1.836107870E-1,1.914258115E-2,9.760921478E0,-5.844469070E-1,9.778421791E0
1.858942950E-1,4.785645381E-2,9.770493507E0,-5.844469070E-1,9.788074980E0
1.881702960E-1,4.785645381E-2,9.775279045E0,-5.892325640E-1,9.793138703E0
1.904559410E-1,3.828516230E-2,9.784850121E0,-5.892325640E-1,9.802650287E0
1.927441490E-1,3.828516230E-2,9.775876999E0,-5.748756528E-1,9.792840184E0
1.950282070E-1,8.135596663E-2,9.756135941E0,-5.940182209E-1,9.774541674E0
1.973100060E-1,1.004985496E-1,9.780064583E0,-5.988038778E-1,9.798894289E0
1.995881440E-1,1.004985496E-1,9.751350403E0,-5.844469070E-1,9.769366040E0
2.018753750E-1,7.178468257E-2,9.765707016E0,-6.221339107E-1,9.785767071E0
2.041607140E-1,6.699903309E-2,9.799206734E0,-6.035895348E-1,9.818007018E0
2.064469690E-1,5.742774159E-2,9.765707016E0,-6.221339107E-1,9.785672285E0
2.087163170E-1,5.264209956E-2,9.760921478E0,-6.131607890E-1,9.780302932E0
2.110074550E-1,4.307080805E-2,9.770493507E0,-5.940182209E-1,9.788628919E0
2.132904750E-1,4.785645381E-2,9.765707016E0,-5.988038778E-1,9.784165261E0
2.155761190E-1,7.178468257E-2,9.770493507E0,-5.605186820E-1,9.786821630E0
2.178519370E-1,6.699903309E-2,9.751350403E0,-5.700899959E-1,9.768230451E0
2.201342860E-1,5.742774159E-2,9.775279045E0,-5.748756528E-1,9.792336819E0
2.224179770E-1,6.699903309E-2,9.770493507E0,-5.940182209E-1,9.788763451E0
2.246966630E-1,7.178468257E-2,9.765707016E0,-5.892325640E-1,9.783730453E0
2.269906090E-1,6.221338734E-2,9.760921478E0,-6.035895348E-1,9.779763746E0
2.292656340E-1,7.178468257E-2,9.756135941E0,-5.700899959E-1,9.773041703E0
2.315482260E-1,5.742774159E-2,9.785448074E0,-5.796613097E-1,9.802769976E0
2.338396690E-1,6.221338734E-2,9.775876999E0,-5.413761139E-1,9.791053554E0
2.361231160E-1,5.264209956E-2,9.761520386E0,-5.371887088E-1,9.776432025E0
2.384027190E-1,6.221338734E-2,9.771091461E0,-5.557330847E-1,9.787080163E0
2.406844570E-1,4.785645381E-2,9.780662537E0,-5.413761139E-1,9.795751017E0
2.429713220E-1,4.785645381E-2,9.766305923E0,-5.509474277E-1,9.781950966E0
2.452564780E-1,4.785645381E-2,9.751948357E0,-5.557330847E-1,9.767887502E0
2.475373620E-1,6.221338734E-2,9.766305923E0,-5.605186820E-1,9.782575483E0
2.498170250E-1,7.657032460E-2,9.771091461E0,-5.509474277E-1,9.786911383E0
2.521049280E-1,8.614161611E-2,9.780662537E0,-5.461617708E-1,9.796278513E0
2.543883140E-1,7.178468257E-2,9.780662537E0,-5.653043389E-1,9.797248680E0
2.566700530E-1,6.221338734E-2,9.770493507E0,-5.748756528E-1,9.787588871E0
2.589495940E-1,5.264209956E-2,9.775279045E0,-5.844469070E-1,9.792876482E0
2.612384730E-1,4.785645381E-2,9.780064583E0,-5.892325640E-1,9.797915518E0
2.635210050E-1,4.785645381E-2,9.765707016E0,-5.940182209E-1,9.783873538E0
2.658021330E-1,3.349951655E-2,9.775279045E0,-5.988038778E-1,9.793659618E0
2.680803920E-1,3.349951655E-2,9.756135941E0,-6.035895348E-1,9.774846855E0
2.703646940E-1,3.349951655E-2,9.760921478E0,-6.131607890E-1,9.780218631E0
2.726529630E-1,3.828516230E-2,9.770493507E0,-6.317051649E-1,9.790968315E0
2.749358600E-1,3.828516230E-2,9.794421196E0,-6.221339107E-1,9.814234709E0
2.772188810E-1,3.828516230E-2,9.799206734E0,-6.412764788E-1,9.820242048E0
2.794964690E-1,4.785645381E-2,9.775279045E0,-6.221339107E-1,9.795173365E0
2.817855310E-1,4.785645381E-2,9.760921478E0,-6.083751321E-1,9.779979481E0
2.840672080E-1,3.828516230E-2,9.760921478E0,-6.179464459E-1,9.780537392E0
2.863516930E-1,5.264209956E-2,9.775279045E0,-5.892325640E-1,9.793163259E0
