"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.380674168E-1;-7.581733704E-1;1.107995911E0;1.000085312E1;1.009056712E1
6.480334168E-1;-5.876779175E-1;1.158890076E0;1.017943176E1;1.026202819E1
6.579984170E-1;-5.128335571E-1;1.006806335E0;1.043495041E1;1.049594433E1
6.679644170E-1;-4.378395081E-1;9.737251282E-1;1.056428146E1;1.061809243E1
6.779294168E-1;-2.589614868E-1;1.151405640E0;1.047386948E1;1.054014885E1
6.878954167E-1;-4.161346436E-2;1.194965057E0;1.026729904E1;1.033668722E1
6.978604170E-1;4.520599365E-2;1.085841980E0;1.029199768E1;1.034921797E1
7.078264169E-1;-5.313949585E-2;9.563612366E-1;1.047461792E1;1.051832074E1
7.177914167E-1;2.526745605E-1;1.045126648E0;1.028915359E1;1.034518322E1
7.277574167E-1;4.200265503E-1;1.251547394E0;1.005204666E1;1.013836453E1
7.377224169E-1;5.533992004E-1;1.553170166E0;9.977202301E0;1.011252461E1
7.476874166E-1;6.927593994E-1;1.589993591E0;1.002315674E1;1.017210235E1
7.576534171E-1;5.056484985E-1;1.458866272E0;1.016221756E1;1.027884414E1
7.676184168E-1;-2.965333557E-1;1.345402222E0;9.944570160E0;1.003954754E1
7.775844168E-1;-1.185684357E0;1.311572571E0;9.692644043E0;9.852584359E0
7.875494170E-1;-1.304237823E0;1.484612732E0;9.675429840E0;9.875173611E0
7.975154170E-1;-1.204245758E0;1.685944061E0;9.853559418E0;1.006902420E1
8.074804167E-1;-1.359323273E0;1.833237762E0;1.001866608E1;1.027531948E1
8.174464167E-1;-1.674118652E0;2.020049286E0;9.962532806E0;1.030220036E1
8.274114169E-1;-2.060914307E0;2.349963226E0;9.868977356E0;1.035212099E1
8.373774169E-1;-1.495989075E0;2.460583191E0;9.890831909E0;1.030150517E1
8.473424166E-1;-9.677375793E-1;2.505340118E0;9.957293701E0;1.031314419E1
8.573084166E-1;-7.084767151E-1;2.426304474E0;9.746232605E0;1.006866141E1
8.672734168E-1;-4.367916870E-1;2.464774475E0;9.386680298E0;9.714713954E0
8.772384170E-1;-3.535647583E-1;2.370919647E0;8.978179779E0;9.292684228E0
8.872044170E-1;-6.420149231E-1;2.253264313E0;8.727151794E0;9.036180701E0
8.971694168E-1;-9.382489014E-1;2.150128784E0;8.888366547E0;9.192737604E0
9.071354168E-1;-5.592370605E-1;2.186353455E0;9.419761505E0;9.686319958E0
9.171004170E-1;2.189945984E-1;2.229314117E0;9.973310394E0;1.022177677E1
9.270665003E-1;6.432124329E-1;2.177521820E0;1.035351974E1;1.059956106E1
9.370315000E-1;6.240522766E-1;1.849404144E0;1.047731232E1;1.065757056E1
9.469975000E-1;3.986210632E-1;1.420545959E0;1.042402313E1;1.052792039E1
9.569625002E-1;-5.254074097E-2;1.177900543E0;1.052925430E1;1.059506519E1
9.669285002E-1;-1.637594604E-1;1.001866608E0;1.075363770E1;1.080144794E1
9.768935000E-1;-2.559677124E-2;7.285350037E-1;1.109687393E1;1.112079267E1
9.868594999E-1;-5.508544922E-2;3.861968994E-1;1.149534531E1;1.150196271E1
9.968245002E-1;-1.094224548E-1;1.519340515E-1;1.166808609E1;1.166958826E1
1.006789500E0;-2.739303589E-1;-2.974314880E-1;1.158066788E1;1.158772505E1
1.016755500E0;-2.851570129E-1;-5.373825073E-1;1.152603149E1;1.154207505E1
1.026720500E0;-2.909948730E-1;-4.453239441E-1;1.156495056E1;1.157717897E1
1.036686500E0;-2.859054565E-2;-2.830613708E-1;1.164757874E1;1.165105281E1
1.046651500E0;3.836521912E-1;-2.035766602E-1;1.168125870E1;1.168933006E1
1.056617500E0;4.435276794E-1;-2.386038208E-1;1.131167725E1;1.132288350E1
1.066582500E0;4.052073669E-1;-4.724176025E-1;1.061772034E1;1.063594643E1
1.076548500E0;3.032693481E-1;-7.451504517E-1;9.985734558E0;1.001808945E1
1.086513500E0;6.541397095E-2;-9.395960999E-1;9.700128479E0;9.745748423E0
1.096479500E0;-6.436614990E-2;-9.502239990E-1;9.692943420E0;9.739621184E0
1.106444500E0;2.963836670E-2;-8.577163696E-1;9.727671204E0;9.765456612E0
1.116410500E0;2.616558838E-1;-6.330335999E-1;9.732311554E0;9.756386807E0
1.126375500E0;5.360353088E-1;-3.037184143E-1;9.770033112E0;9.789439500E0
1.136341500E0;7.821235657E-1;-1.161584473E-1;9.881551208E0;9.913135949E0
1.146306500E0;8.108638000E-1;-3.427871704E-2;9.732910309E0;9.766689214E0
1.156271500E0;6.764433289E-1;-2.739303589E-2;9.530231781E0;9.554247420E0
1.166237500E0;4.287084961E-1;-2.754272461E-2;9.359886017E0;9.369739368E0
1.176202500E0;1.808239746E-1;-3.293151855E-2;9.206754456E0;9.208588893E0
1.186168500E0;-4.924758911E-2;-8.143066406E-2;9.090745697E0;9.091243788E0
1.196133500E0;-3.076103210E-1;-8.996292114E-2;9.081464996E0;9.087118571E0
1.206099500E0;-4.692741394E-1;-1.064286804E-1;9.066945190E0;9.079704861E0
1.216064500E0;-6.459068298E-1;-2.978805542E-2;9.010811920E0;9.033981095E0
1.226030500E0;-4.676275635E-1;-2.709365845E-2;8.956923981E0;8.969163662E0
1.235995500E0;-4.258644104E-1;-8.397537231E-2;8.978030090E0;8.988516933E0
1.245961500E0;-4.677772522E-1;-2.290237427E-2;9.107211456E0;9.119245615E0
1.255926500E0;-4.903802490E-1;1.466949463E-1;9.291777649E0;9.305865036E0
1.265892500E0;-4.793032837E-1;2.260299683E-1;9.487271118E0;9.502059485E0
